rowNum,month,weekOfMonth,dayOfWeek,make,accidentArea,dayOfWeekClaimed,monthClaimed,weekOfMonthClaimed,sex,maritalStatus,age,fault,policyType,vehicleCategory,vehiclePrice,policyNumber,repNumber,deductible,driverRating,daysPolicyAccident,daysPolicyClaim,pastNumberOfClaims,ageOfVehicle,ageOfPolicyHolder,policeReportFiled,witnessPresent,agentType,numberOfSuppliments,addressChangeClaim,numberOfCars,year,basePolicy,fraud
15,Sep,4,Friday,Mazda,Urban,Monday,Sep,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13121,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1996,Liability,no
16,Sep,4,Wednesday,Honda,Urban,Tuesday,Sep,4,Female,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13122,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,no
17,Sep,2,Wednesday,Chevrolet,Urban,Thursday,Sep,3,Male,Married,53,Policy Holder,Utility - Collision,Utility,more than 69000,13123,7,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,no
18,Aug,3,Saturday,Mazda,Urban,Monday,Aug,4,Male,Married,79,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13124,12,400,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,none,no change,1 vehicle,1996,Liability,no
19,Aug,3,Friday,Honda,Urban,Thursday,Sep,1,Male,Married,78,Policy Holder,Sedan - Liability,Sport,less than 20000,13125,7,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
20,Aug,3,Sunday,Toyota,Urban,Wednesday,Aug,3,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13126,15,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,All Perils,no
21,Jul,2,Sunday,Toyota,Urban,Tuesday,Jul,2,Male,Married,50,Third Party,Sedan - All Perils,Sedan,less than 20000,13127,16,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,no
22,Jun,4,Friday,Mazda,Urban,Monday,Jun,4,Female,Married,39,Third Party,Sedan - Collision,Sedan,30000 to 39000,13128,3,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
23,Jun,3,Monday,Chevrolet,Urban,Tuesday,Jun,4,Male,Married,47,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13129,3,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,no
24,Jun,4,Friday,Chevrolet,Rural,Tuesday,Jul,1,Male,Married,45,Policy Holder,Utility - All Perils,Utility,more than 69000,13130,9,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,yes
25,Jun,1,Thursday,Honda,Rural,Thursday,Jun,1,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13131,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,no
26,May,3,Tuesday,Mazda,Urban,Thursday,May,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,30000 to 39000,13132,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,no
27,Apr,5,Thursday,Pontiac,Urban,Friday,Apr,5,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13133,10,400,3,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,no
28,Apr,2,Friday,Chevrolet,Urban,Friday,Apr,4,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13134,6,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,no
29,Jun,4,Saturday,Mazda,Urban,Tuesday,Jul,2,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,13135,1,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,yes
30,Dec,5,Thursday,Honda,Urban,Thursday,Dec,5,Female,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13136,9,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,no
31,Oct,2,Monday,Mazda,Urban,Monday,Nov,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,13137,1,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,no
32,Oct,2,Tuesday,Mazda,Urban,Tuesday,Oct,4,Female,Married,32,Policy Holder,Sedan - Liability,Sport,less than 20000,13138,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
33,Oct,1,Monday,Honda,Urban,Tuesday,Oct,1,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13139,13,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,no
34,Mar,1,Thursday,Toyota,Urban,Thursday,Mar,3,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13140,15,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,1 to 2,no change,1 vehicle,1996,Liability,no
35,Feb,4,Monday,Honda,Urban,Tuesday,Feb,4,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13141,13,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,no
36,Jun,4,Saturday,Pontiac,Urban,Thursday,Jul,2,Male,Married,49,Third Party,Sedan - Collision,Sedan,20000 to 29000,13142,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,no
37,Jun,4,Saturday,Pontiac,Rural,Tuesday,Jul,1,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13143,9,400,1,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,yes
38,Jul,1,Monday,Pontiac,Urban,Wednesday,Jul,1,Male,Married,39,Third Party,Sedan - Collision,Sedan,less than 20000,13144,12,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
39,Oct,4,Wednesday,Mazda,Urban,Thursday,Oct,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13145,12,700,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
40,Mar,2,Thursday,Pontiac,Urban,Tuesday,Mar,3,Male,Married,77,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13146,10,400,2,more than 30,more than 30,1,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,no
41,Feb,4,Sunday,Toyota,Rural,Wednesday,Mar,1,Male,Married,58,Third Party,Sedan - Liability,Sport,20000 to 29000,13147,7,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Liability,no
42,Sep,2,Monday,Mazda,Urban,Wednesday,Sep,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13148,8,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
43,Jun,4,Sunday,Pontiac,Urban,Monday,Jun,4,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13149,11,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,no
44,Dec,4,Tuesday,Toyota,Urban,Friday,Dec,4,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13150,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,no
45,Jun,4,Sunday,Honda,Urban,Monday,Jul,1,Male,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,13151,13,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,no
46,Jul,3,Wednesday,Chevrolet,Urban,Tuesday,Aug,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13152,15,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,no
47,Jul,3,Monday,Mazda,Rural,Wednesday,Jul,3,Male,Married,43,Policy Holder,Utility - All Perils,Utility,more than 69000,13153,12,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,no
48,Oct,2,Friday,Toyota,Urban,Thursday,Oct,4,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,more than 69000,13154,14,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,no
49,Aug,2,Thursday,Toyota,Urban,Thursday,Aug,2,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,less than 20000,13155,3,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,no
50,Jul,2,Wednesday,Mazda,Urban,Monday,Sep,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13156,13,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,no
51,Sep,1,Tuesday,Toyota,Urban,Wednesday,Sep,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13157,2,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,no
52,Sep,1,Tuesday,Mazda,Urban,Saturday,Sep,2,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13158,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
53,Jun,4,Monday,Toyota,Urban,Saturday,Jul,1,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13159,14,500,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,1996,All Perils,yes
54,Dec,3,Thursday,Honda,Urban,Thursday,Dec,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13160,7,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
55,Dec,2,Wednesday,Pontiac,Urban,Thursday,Dec,4,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13161,7,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,no
56,May,1,Thursday,Honda,Urban,Thursday,May,1,Male,Single,47,Policy Holder,Sedan - Liability,Sport,more than 69000,13162,8,400,1,more than 30,more than 30,more than 4,new,41 to 50,No,No,External,none,no change,3 to 4,1996,Liability,no
57,May,1,Tuesday,Dodge,Urban,Tuesday,May,1,Male,Married,56,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,13163,13,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,no
58,May,2,Sunday,Toyota,Urban,Monday,May,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13164,14,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
59,Apr,4,Saturday,Honda,Urban,Monday,Apr,4,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13165,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,no
60,Apr,3,Friday,Toyota,Urban,Friday,May,1,Female,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13166,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,no
61,May,4,Monday,Chevrolet,Rural,Monday,May,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13167,6,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
62,Aug,4,Wednesday,Chevrolet,Urban,Thursday,Aug,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13168,5,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Liability,no
63,Aug,2,Monday,Pontiac,Urban,Monday,Aug,2,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13169,13,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,no
64,Oct,3,Friday,Toyota,Urban,Monday,Oct,4,Female,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,13170,5,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,no
65,Jun,4,Monday,Accura,Urban,Monday,Jul,1,Male,Married,34,Third Party,Sedan - Liability,Sport,30000 to 39000,13171,7,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,no
66,Jan,1,Friday,Toyota,Urban,Thursday,Mar,1,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13172,1,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,no
67,Apr,2,Tuesday,Honda,Urban,Friday,Apr,5,Male,Married,27,Policy Holder,Sport - Collision,Sport,more than 69000,13173,13,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
68,Jul,4,Friday,Pontiac,Urban,Tuesday,Sep,2,Male,Married,72,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13174,16,400,1,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,no
69,Aug,1,Tuesday,Honda,Urban,Monday,Sep,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13175,15,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
70,Nov,1,Saturday,Mazda,Urban,Thursday,Nov,2,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13176,2,700,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
71,Oct,4,Monday,Toyota,Urban,Wednesday,Dec,3,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13177,15,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,no
72,Aug,2,Saturday,Pontiac,Urban,Thursday,Aug,3,Male,Single,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13178,4,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,no
73,Jun,5,Friday,Pontiac,Urban,Monday,Sep,2,Male,Married,47,Policy Holder,Utility - All Perils,Utility,40000 to 59000,13179,12,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,no
74,Dec,3,Friday,Pontiac,Urban,Wednesday,Dec,4,Male,Married,46,Third Party,Sedan - Collision,Sedan,20000 to 29000,13180,14,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,no
75,Nov,2,Friday,Chevrolet,Urban,Wednesday,Nov,4,Female,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13181,16,400,2,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
76,Oct,1,Saturday,Chevrolet,Urban,Monday,Oct,1,Male,Married,61,Third Party,Sedan - Collision,Sedan,20000 to 29000,13182,12,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,no
77,Jul,1,Friday,Pontiac,Urban,Wednesday,Jul,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13183,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
78,Jun,2,Friday,Honda,Urban,Wednesday,Jun,4,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,13184,16,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils,no
79,Apr,1,Sunday,Accura,Urban,Wednesday,Apr,1,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13185,3,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,no
80,Jan,5,Monday,Pontiac,Urban,Tuesday,Apr,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13186,15,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,no
81,Feb,2,Tuesday,Pontiac,Urban,Tuesday,Mar,1,Male,Single,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13187,7,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,no
82,Feb,2,Friday,Mazda,Urban,Wednesday,Feb,3,Female,Married,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13188,11,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,no
83,Sep,3,Friday,Toyota,Urban,Monday,Sep,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13189,10,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability,no
84,Dec,3,Tuesday,Pontiac,Urban,Wednesday,Dec,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13190,16,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,no
85,Dec,3,Sunday,Honda,Urban,Monday,Dec,3,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13191,8,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,no
86,Nov,4,Wednesday,Honda,Urban,Friday,Dec,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13192,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
87,Aug,5,Thursday,Chevrolet,Urban,Monday,Sep,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,40000 to 59000,13193,15,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,no
88,Mar,3,Monday,Mazda,Urban,Monday,Mar,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,30000 to 39000,13194,11,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,no
89,Nov,3,Monday,Pontiac,Urban,Tuesday,Nov,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,more than 69000,13195,10,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,no
90,Nov,2,Saturday,Pontiac,Urban,Tuesday,Nov,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,more than 69000,13196,10,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,1 year,1 vehicle,1996,Liability,no
91,Oct,2,Monday,Toyota,Urban,Thursday,Oct,2,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13197,7,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,no
92,Aug,1,Saturday,Toyota,Urban,Friday,Aug,2,Male,Married,35,Third Party,Sedan - Liability,Sport,30000 to 39000,13198,16,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,no
93,Aug,1,Tuesday,Pontiac,Urban,Thursday,Aug,1,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13199,8,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,no
94,Jul,4,Saturday,Chevrolet,Urban,Tuesday,Aug,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13200,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,no
95,Mar,4,Friday,Pontiac,Urban,Friday,Apr,1,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13201,3,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,no
96,Mar,4,Monday,Chevrolet,Urban,Thursday,Mar,4,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13202,3,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
97,Sep,3,Tuesday,Chevrolet,Urban,Friday,Dec,3,Male,Single,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13203,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,Internal,more than 5,no change,3 to 4,1996,Collision,no
98,Jun,5,Wednesday,Chevrolet,Urban,Saturday,Jul,1,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,13204,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,no
99,Apr,3,Thursday,Accura,Urban,Wednesday,Apr,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,more than 69000,13205,9,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
100,Sep,3,Tuesday,Toyota,Urban,Wednesday,Sep,4,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13206,2,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,no
101,Sep,1,Monday,Mazda,Urban,Tuesday,Sep,1,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,13207,7,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,no
102,Aug,4,Saturday,Honda,Urban,Tuesday,Aug,5,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13208,3,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
103,Feb,1,Tuesday,Mazda,Urban,Wednesday,Feb,1,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,13209,10,400,1,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
