rowNum,month,weekOfMonth,dayOfWeek,make,accidentArea,dayOfWeekClaimed,monthClaimed,weekOfMonthClaimed,sex,maritalStatus,age,fault,policyType,vehicleCategory,vehiclePrice,policyNumber,repNumber,deductible,driverRating,daysPolicyAccident,daysPolicyClaim,pastNumberOfClaims,ageOfVehicle,ageOfPolicyHolder,policeReportFiled,witnessPresent,agentType,numberOfSuppliments,addressChangeClaim,numberOfCars,year,basePolicy,fraud
13,Sep,4,Sunday,Honda,Rural,Wednesday,Oct,1,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,10806,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,no
14,Apr,3,Wednesday,Mazda,Urban,Thursday,Apr,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10807,12,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,no
15,Oct,1,Thursday,Pontiac,Urban,Friday,Nov,3,Female,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,10808,3,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1995,Collision,no
16,Sep,4,Wednesday,Pontiac,Urban,Wednesday,Sep,4,Female,Married,43,Policy Holder,Sedan - Liability,Sport,less than 20000,10809,14,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,no
17,Jul,3,Tuesday,Chevrolet,Urban,Friday,Jul,4,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10810,5,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,no
18,Nov,2,Wednesday,Ford,Urban,Tuesday,Nov,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10811,1,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,no
19,Nov,2,Wednesday,Chevrolet,Rural,Thursday,Nov,2,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,10812,11,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,no
20,Nov,2,Tuesday,Chevrolet,Urban,Wednesday,Nov,2,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,10813,1,500,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,2 to 3 years,1 vehicle,1995,All Perils,no
21,Jun,1,Sunday,Honda,Urban,Monday,Jun,1,Male,Single,52,Third Party,Sedan - Collision,Sedan,20000 to 29000,10814,4,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,no
22,Jun,1,Monday,Pontiac,Urban,Tuesday,Jun,3,Female,Married,41,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10815,13,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,no
23,Mar,2,Tuesday,Mazda,Urban,Tuesday,Mar,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10816,2,400,2,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,none,4 to 8 years,2 vehicles,1995,Collision,no
24,Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10817,5,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,no
25,Sep,2,Saturday,Pontiac,Urban,Sunday,Sep,3,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10818,8,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
26,Jan,3,Saturday,Toyota,Rural,Wednesday,Jan,3,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10819,13,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,no
27,Feb,3,Wednesday,Chevrolet,Urban,Tuesday,Feb,5,Male,Married,49,Third Party,Sedan - All Perils,Sedan,30000 to 39000,10820,5,700,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
28,Apr,5,Saturday,Mazda,Urban,Monday,May,2,Male,Single,35,Third Party,Sedan - All Perils,Sedan,30000 to 39000,10821,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,no
29,Aug,4,Saturday,Honda,Urban,Friday,Oct,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10822,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
30,Jun,4,Thursday,Chevrolet,Urban,Thursday,Nov,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,40000 to 59000,10823,8,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,Yes,No,Internal,1 to 2,no change,1 vehicle,1995,Liability,no
31,Oct,2,Friday,Toyota,Urban,Tuesday,Oct,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10824,14,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,no
32,May,3,Wednesday,Honda,Urban,Thursday,May,3,Male,Single,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10825,14,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,3 to 4,1995,Liability,no
33,Mar,3,Wednesday,Pontiac,Urban,Monday,Apr,1,Female,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10826,4,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,no
34,Mar,2,Tuesday,Mazda,Urban,Thursday,Mar,2,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10827,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,no
35,Mar,2,Tuesday,Pontiac,Urban,Thursday,Mar,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10828,15,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,no
36,Mar,1,Sunday,Mazda,Rural,Tuesday,Mar,2,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10829,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,no
37,Jan,4,Thursday,Mazda,Urban,Tuesday,Sep,4,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10830,10,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,1 year,1 vehicle,1995,All Perils,no
38,Jan,4,Thursday,Mazda,Urban,Thursday,Mar,1,Female,Married,28,Policy Holder,Sport - Collision,Sport,more than 69000,10831,6,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
39,Jul,2,Sunday,VW,Urban,Wednesday,Jul,2,Male,Married,39,Policy Holder,Sedan - Liability,Sport,40000 to 59000,10832,3,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
40,Mar,1,Thursday,Mazda,Rural,Thursday,Mar,1,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10833,12,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,no
41,Feb,2,Monday,Toyota,Urban,Thursday,Oct,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,less than 20000,10834,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,no
42,Feb,2,Wednesday,Honda,Urban,Thursday,Feb,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,10835,6,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,no
43,Jan,5,Friday,Honda,Urban,Wednesday,Feb,1,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10836,8,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,no
44,Jan,3,Monday,Chevrolet,Urban,Tuesday,Jan,3,Female,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10837,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,no
45,Mar,3,Wednesday,Honda,Urban,Wednesday,Mar,4,Male,Single,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10838,2,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,yes
46,Aug,4,Wednesday,Accura,Urban,Tuesday,Nov,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,10839,6,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
47,Oct,3,Saturday,Pontiac,Rural,Wednesday,Oct,4,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10840,9,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
48,Jul,2,Friday,Pontiac,Urban,Wednesday,Jul,2,Female,Single,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10841,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
49,Jul,4,Tuesday,Honda,Urban,Wednesday,Jul,4,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10842,12,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,no
50,Dec,2,Sunday,VW,Urban,Wednesday,Dec,4,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10843,6,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,no
51,Oct,3,Monday,Toyota,Rural,Monday,Dec,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10844,10,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,no
52,Oct,3,Monday,Pontiac,Urban,Monday,Oct,3,Male,Married,61,Policy Holder,Utility - All Perils,Utility,more than 69000,10845,5,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,no
53,Mar,3,Wednesday,Honda,Urban,Wednesday,Mar,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10846,9,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,yes
54,Nov,3,Tuesday,Pontiac,Urban,Friday,Nov,3,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10847,9,400,4,more than 30,more than 30,none,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,no
55,Jul,3,Wednesday,Chevrolet,Urban,Wednesday,Sep,3,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10848,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
56,Oct,4,Thursday,Toyota,Urban,Friday,Nov,2,Female,Married,35,Third Party,Sedan - All Perils,Sedan,less than 20000,10849,11,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,no
57,Oct,4,Wednesday,Pontiac,Urban,Thursday,Nov,1,Male,Single,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10850,1,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,no
58,Mar,3,Thursday,Chevrolet,Rural,Monday,Mar,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10851,14,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,yes
59,Jul,1,Wednesday,Pontiac,Urban,Thursday,Jul,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,less than 20000,10852,1,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
60,Jul,1,Tuesday,Pontiac,Urban,Wednesday,Jul,1,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10853,11,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1995,Liability,no
61,Jun,4,Thursday,Mazda,Urban,Friday,Jun,4,Male,Married,34,Policy Holder,Sport - Collision,Sport,more than 69000,10854,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
62,Feb,2,Monday,Honda,Rural,Monday,Feb,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,10855,9,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,no
63,Feb,2,Wednesday,Toyota,Urban,Wednesday,Feb,3,Female,Married,42,Policy Holder,Sedan - All Perils,Sedan,less than 20000,10856,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,no
64,Mar,2,Thursday,Toyota,Urban,Saturday,Mar,3,Male,Single,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10857,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,no
65,Apr,4,Sunday,Honda,Urban,Friday,May,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,10858,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,no
66,Apr,4,Sunday,Toyota,Rural,Thursday,Apr,5,Male,Single,21,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10859,12,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,no
67,May,3,Tuesday,Honda,Urban,Monday,May,4,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,10860,11,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,no
68,May,3,Monday,Chevrolet,Urban,Tuesday,May,3,Male,Married,54,Third Party,Sedan - Collision,Sedan,30000 to 39000,10861,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1995,Collision,no
69,May,4,Sunday,Chevrolet,Urban,Monday,Jun,1,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,10862,11,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,no
70,May,4,Wednesday,Pontiac,Urban,Thursday,May,4,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10863,8,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
71,May,4,Thursday,Pontiac,Urban,Friday,May,4,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10864,11,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability,no
72,Jun,1,Wednesday,Pontiac,Urban,Thursday,Jun,1,Female,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10865,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,no
73,Jun,5,Tuesday,Mazda,Urban,Monday,Jul,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10866,2,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Collision,no
74,Jul,1,Monday,Mazda,Urban,Tuesday,Jul,1,Male,Single,25,Third Party,Sedan - Collision,Sedan,20000 to 29000,10867,1,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,no
75,Sep,1,Tuesday,Honda,Urban,Wednesday,Sep,2,Female,Single,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10868,8,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,no
76,Sep,4,Monday,Toyota,Urban,Monday,Sep,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,10869,4,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
77,Sep,5,Wednesday,Toyota,Urban,Friday,Nov,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10870,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,no
78,Oct,3,Sunday,Honda,Urban,Tuesday,Oct,3,Male,Married,46,Third Party,Sedan - Collision,Sedan,20000 to 29000,10871,14,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,no
79,Oct,4,Wednesday,Pontiac,Urban,Thursday,Oct,4,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10872,9,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,no
80,Nov,1,Friday,Ford,Urban,Tuesday,Nov,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,10873,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,no
81,Mar,3,Friday,Accura,Urban,Tuesday,Mar,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,10874,14,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,yes
82,Dec,3,Monday,Honda,Urban,Monday,Mar,2,Male,Single,21,Policy Holder,Sport - Collision,Sport,more than 69000,10875,9,400,4,more than 30,more than 30,2 to 4,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,no
83,Feb,4,Saturday,Toyota,Urban,Tuesday,Mar,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10876,7,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision,no
84,Mar,3,Friday,Ford,Rural,Wednesday,Mar,4,Male,Married,55,Policy Holder,Utility - All Perils,Utility,more than 69000,10877,9,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,yes
85,Mar,3,Friday,Toyota,Urban,Monday,Mar,3,Male,Single,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10878,9,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1995,Liability,no
86,Mar,3,Friday,Honda,Urban,Wednesday,Mar,4,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10879,5,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,yes
87,May,1,Wednesday,Toyota,Urban,Monday,May,2,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,10880,8,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
88,Jul,1,Thursday,Accura,Urban,Tuesday,Jul,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,40000 to 59000,10881,3,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,no
89,Jul,2,Monday,Honda,Urban,Friday,Jul,3,Male,Single,34,Third Party,Sedan - Collision,Sedan,40000 to 59000,10882,2,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1995,Collision,no
90,Jul,3,Saturday,Honda,Rural,Monday,Jul,3,Male,Single,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,10883,1,400,2,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,no
91,Jul,3,Wednesday,Pontiac,Urban,Wednesday,Jul,3,Female,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10884,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,no
92,Aug,1,Thursday,Toyota,Rural,Thursday,Oct,1,Male,Married,58,Third Party,Sedan - Liability,Sport,30000 to 39000,10885,3,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,no
93,Aug,3,Wednesday,Toyota,Urban,Monday,Aug,4,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10886,13,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,no
94,Aug,3,Friday,Honda,Rural,Thursday,Aug,4,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,10887,7,400,1,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1995,All Perils,no
95,Sep,3,Wednesday,Mazda,Urban,Thursday,Sep,4,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10888,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,no
96,Oct,1,Wednesday,Toyota,Rural,Friday,Oct,3,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10889,9,400,1,more than 30,more than 30,1,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1995,Collision,no
97,Mar,3,Saturday,Mazda,Urban,Tuesday,Apr,2,Male,Single,51,Policy Holder,Sedan - All Perils,Sedan,more than 69000,10890,1,400,1,more than 30,more than 30,1,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,yes
98,Nov,2,Sunday,Toyota,Urban,Monday,Nov,2,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,10891,9,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
99,Nov,2,Sunday,Mazda,Urban,Monday,Nov,2,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10892,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,no
100,Oct,2,Wednesday,Pontiac,Rural,Tuesday,Oct,3,Female,Single,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,10893,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
101,Oct,2,Sunday,Jaguar,Rural,Wednesday,Oct,2,Male,Married,28,Third Party,Sedan - Collision,Sedan,30000 to 39000,10894,13,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,no
102,Oct,1,Tuesday,Pontiac,Urban,Thursday,Oct,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10895,16,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,no
